month,date,hour,output
9,2,3,-0.0017440
9,2,4,-0.0017440
9,2,5,-0.0017440
9,2,6,-0.0017440
9,2,7,-0.0017440
9,2,8,0.1718080
9,2,9,0.4759120
9,2,10,0.7429440
9,2,11,0.9382400
9,2,12,1.0565600
9,2,13,1.1051200
9,2,14,1.0868800
9,2,15,1.0019200
9,2,16,0.8515200
9,2,17,0.6306240
9,2,18,0.3532160
9,2,19,0.0727360
9,2,20,-0.0017440
9,2,21,-0.0017440
9,2,22,-0.0017440
9,2,23,-0.0017440
9,2,24,-0.0017440
9,3,1,-0.0017440
9,3,2,-0.0017440
9,3,3,-0.0017440
9,3,4,-0.0017440
9,3,5,-0.0017440
9,3,6,-0.0017440
9,3,7,-0.0017440
9,3,8,0.1605120
9,3,9,0.4461520
9,3,10,0.7041120
9,3,11,0.8981600
9,3,12,1.0163200
9,3,13,1.0651200
9,3,14,1.0488800
9,3,15,0.9712800
9,3,16,0.8241600
9,3,17,0.6057440
9,3,18,0.3362320
9,3,19,0.0702720
9,3,20,-0.0017440
9,3,21,-0.0017440
9,3,22,-0.0017440
9,3,23,-0.0017440
9,3,24,-0.0017440
9,4,1,-0.0017440
9,4,2,-0.0017440
9,4,3,-0.0017440
9,4,4,-0.0017440
9,4,5,-0.0017440
9,4,6,-0.0017440
9,4,7,-0.0017440
9,4,8,0.0911520
9,4,9,0.2299040
9,4,10,0.5410640
9,4,11,0.6422480
9,4,12,0.6533840
9,4,13,0.5549760
9,4,14,0.2648000
9,4,15,0.0711440
9,4,16,0.0642800
9,4,17,0.1241360
9,4,18,0.1028800
9,4,19,0.0177600
9,4,20,-0.0017440
9,4,21,-0.0017440
9,4,22,-0.0017440
9,4,23,-0.0017440
9,4,24,-0.0017440
9,5,1,-0.0017440
9,5,2,-0.0017440
9,5,3,-0.0017440
9,5,4,-0.0017440
9,5,5,-0.0017440
9,5,6,-0.0017440
9,5,7,-0.0017440
9,5,8,0.0932160
9,5,9,0.2183200
9,5,10,0.2924080
9,5,11,0.4083280
9,5,12,0.5207520
9,5,13,0.3643760
9,5,14,0.4937520
9,5,15,0.5136800
9,5,16,0.5660960
9,5,17,0.2685440
9,5,18,0.1268800
9,5,19,0.0037920
9,5,20,-0.0017440
9,5,21,-0.0017440
9,5,22,-0.0017440
9,5,23,-0.0017440
9,5,24,-0.0017440
9,6,1,-0.0017440
9,6,2,-0.0017440
9,6,3,-0.0017440
9,6,4,-0.0017440
9,6,5,-0.0017440
9,6,6,-0.0017440
9,6,7,-0.0017440
9,6,8,0.1475600
9,6,9,0.4134400
9,6,10,0.6470960
9,6,11,0.8522400
9,6,12,0.9591200
9,6,13,1.0017600
9,6,14,0.9972800
9,6,15,0.9025600
9,6,16,0.7532720
9,6,17,0.5564320
9,6,18,0.3060000
9,6,19,0.0633280
9,6,20,-0.0017440
9,6,21,-0.0017440
9,6,22,-0.0017440
9,6,23,-0.0017440
9,6,24,-0.0017440
9,7,1,-0.0017440
9,7,2,-0.0017440
9,7,3,-0.0017440
9,7,4,-0.0017440
9,7,5,-0.0017440
9,7,6,-0.0017440
9,7,7,-0.0017440
9,7,8,0.0795600
9,7,9,0.2077120
9,7,10,0.3893440
9,7,11,0.5335600
9,7,12,0.5819280
9,7,13,0.6247760
9,7,14,0.5755120
9,7,15,0.4825360
9,7,16,0.4071120
9,7,17,0.3009440
9,7,18,0.1458720
9,7,19,0.0385040
9,7,20,-0.0017440
9,7,21,-0.0017440
9,7,22,-0.0017440
9,7,23,-0.0017440
9,7,24,-0.0017440
9,8,1,-0.0017440
9,8,2,-0.0017440
9,8,3,-0.0017440
9,8,4,-0.0017440
9,8,5,-0.0017440
9,8,6,-0.0017440
9,8,7,-0.0017440
9,8,8,0.1644800
9,8,9,0.4663680
9,8,10,0.7321280
9,8,11,0.9291200
9,8,12,1.0521600
9,8,13,1.1051200
9,8,14,1.0849600
9,8,15,0.9939200
9,8,16,0.8345600
9,8,17,0.6078240
9,8,18,0.3261760
9,8,19,0.0562880
9,8,20,-0.0017440
9,8,21,-0.0017440
9,8,22,-0.0017440
9,8,23,-0.0017440
9,8,24,-0.0017440
9,9,1,-0.0017440
9,9,2,-0.0017440
9,9,3,-0.0017440
9,9,4,-0.0017440
9,9,5,-0.0017440
9,9,6,-0.0017440
9,9,7,-0.0017440
9,9,8,0.1560640
9,9,9,0.4402480
9,9,10,0.6909760
9,9,11,0.8860800
9,9,12,0.9938400
9,9,13,1.0414400
9,9,14,1.0285600
9,9,15,0.9409600
9,9,16,0.7887280
9,9,17,0.5616800
9,9,18,0.2973200
9,9,19,0.0242800
9,9,20,-0.0017440
9,9,21,-0.0017440
9,9,22,-0.0017440
9,9,23,-0.0017440
9,9,24,-0.0017440
9,10,1,-0.0017440
9,10,2,-0.0017440
9,10,3,-0.0017440
9,10,4,-0.0017440
9,10,5,-0.0017440
9,10,6,-0.0017440
9,10,7,-0.0017440
9,10,8,0.1034720
9,10,9,0.3090720
9,10,10,0.5701360
9,10,11,0.6701920
9,10,12,0.8118400
9,10,13,0.7509680
9,10,14,0.7612160
9,10,15,0.6347840
9,10,16,0.4673440
9,10,17,0.3320080
9,10,18,0.1226640
9,10,19,0.0038960
9,10,20,-0.0017440
9,10,21,-0.0017440
9,10,22,-0.0017440
9,10,23,-0.0017440
9,10,24,-0.0017440
9,11,1,-0.0017440
9,11,2,-0.0017440
9,11,3,-0.0017440
9,11,4,-0.0017440
9,11,5,-0.0017440
9,11,6,-0.0017440
9,11,7,-0.0017440
9,11,8,0.0698960
9,11,9,0.1836400
9,11,10,0.2628480
9,11,11,0.2697920
9,11,12,0.3177360
9,11,13,0.3491840
9,11,14,0.3324960
9,11,15,0.3542000
9,11,16,0.1713280
9,11,17,0.0419120
9,11,18,0.0393680
9,11,19,0.0098320
9,11,20,-0.0017440
9,11,21,-0.0017440
9,11,22,-0.0017440
9,11,23,-0.0017440
9,11,24,-0.0017440
9,12,1,-0.0017440
9,12,2,-0.0017440
9,12,3,-0.0017440
9,12,4,-0.0017440
9,12,5,-0.0017440
9,12,6,-0.0017440
9,12,7,-0.0017440
9,12,8,0.2196000
9,12,9,0.5200560
9,12,10,0.7106640
9,12,11,1.1047200
9,12,12,1.0069600
9,12,13,0.5479600
9,12,14,0.5478480
9,12,15,0.2508320
9,12,16,0.0610240
9,12,17,0.0977520
9,12,18,0.1092640
9,12,19,0.0096720
9,12,20,-0.0017440
9,12,21,-0.0017440
9,12,22,-0.0017440
9,12,23,-0.0017440
9,12,24,-0.0017440
9,13,1,-0.0017440
9,13,2,-0.0017440
9,13,3,-0.0017440
9,13,4,-0.0017440
9,13,5,-0.0017440
9,13,6,-0.0017440
9,13,7,-0.0017440
9,13,8,0.1705120
9,13,9,0.3510160
9,13,10,0.3910080
9,13,11,0.4410160
9,13,12,0.6319040
9,13,13,0.4586400
9,13,14,0.7634400
9,13,15,0.2952400
9,13,16,0.2155520
9,13,17,0.6743360
9,13,18,0.2896000
9,13,19,0.0240560
9,13,20,-0.0017440
9,13,21,-0.0017440
9,13,22,-0.0017440
9,13,23,-0.0017440
9,13,24,-0.0017440
9,14,1,-0.0017440
9,14,2,-0.0017440
9,14,3,-0.0017440
9,14,4,-0.0017440
9,14,5,-0.0017440
9,14,6,-0.0017440
9,14,7,-0.0017440
9,14,8,0.1792640
9,14,9,0.4899520
9,14,10,0.7582880
9,14,11,0.9543200
9,14,12,1.0700800
9,14,13,1.1140800
9,14,14,1.0920800
9,14,15,1.0044000
9,14,16,0.8437600
9,14,17,0.6127280
9,14,18,0.3215680
9,14,19,0.0162400
9,14,20,-0.0017440
9,14,21,-0.0017440
9,14,22,-0.0017440
9,14,23,-0.0017440
9,14,24,-0.0017440
9,15,1,-0.0017440
9,15,2,-0.0017440
9,15,3,-0.0017440
9,15,4,-0.0017440
9,15,5,-0.0017440
9,15,6,-0.0017440
9,15,7,-0.0017440
9,15,8,0.1435440
9,15,9,0.4031440
9,15,10,0.6404880
9,15,11,0.6884240
9,15,12,0.7412160
9,15,13,0.7908320
9,15,14,0.8376000
9,15,15,0.8098400
9,15,16,0.6819760
9,15,17,0.4383440
9,15,18,0.2472400
9,15,19,0.0211920
9,15,20,-0.0017440
9,15,21,-0.0017440
9,15,22,-0.0017440
9,15,23,-0.0017440
9,15,24,-0.0017440
9,16,1,-0.0017440
9,16,2,-0.0017440
9,16,3,-0.0017440
9,16,4,-0.0017440
9,16,5,-0.0017440
9,16,6,-0.0017440
9,16,7,-0.0017440
9,16,8,0.1735600
9,16,9,0.4802640
9,16,10,0.7485440
9,16,11,0.9419200
9,16,12,1.0644000
